index,time_s,target_x,target_y,target_z,ee_x,ee_y,ee_z,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,position_error_m
110,3.666667,0.434709,-0.144996,0.451237,0.434704,-0.144987,0.451237,0.025543,-0.299921,-0.323734,-2.325604,-0.105469,2.038166,0.548389,0.035000,0.035000,0.00000976
111,3.700000,0.438012,-0.150713,0.450879,0.438007,-0.150705,0.450880,0.023629,-0.284247,-0.331712,-2.311313,-0.102555,2.039675,0.536195,0.035000,0.035000,0.00000951
112,3.733333,0.441440,-0.156245,0.450582,0.441435,-0.156236,0.450582,0.021907,-0.268271,-0.339319,-2.296481,-0.099120,2.040851,0.524269,0.035000,0.035000,0.00000947
113,3.766667,0.444990,-0.161584,0.450345,0.444985,-0.161576,0.450346,0.020356,-0.252033,-0.346542,-2.281139,-0.095186,2.041678,0.512629,0.035000,0.035000,0.00000923
114,3.800000,0.448658,-0.166724,0.450170,0.448652,-0.166716,0.450170,0.018954,-0.235573,-0.353367,-2.265318,-0.090780,2.042143,0.501294,0.035000,0.035000,0.00000905
115,3.833333,0.452437,-0.171658,0.450056,0.452432,-0.171651,0.450056,0.017677,-0.218929,-0.359783,-2.249048,-0.085932,2.042235,0.490285,0.035000,0.035000,0.00000894
116,3.866667,0.456325,-0.176382,0.450004,0.456319,-0.176374,0.450004,0.016504,-0.202140,-0.365779,-2.232360,-0.080678,2.041946,0.479625,0.035000,0.035000,0.00000978
117,3.900000,0.460315,-0.180888,0.450013,0.460309,-0.180880,0.450013,0.015415,-0.185238,-0.371349,-2.215279,-0.075051,2.041268,0.469334,0.035000,0.035000,0.00000961
118,3.933333,0.464404,-0.185171,0.450084,0.464398,-0.185164,0.450084,0.014392,-0.168260,-0.376487,-2.197836,-0.069092,2.040197,0.459435,0.035000,0.035000,0.00000953
119,3.966667,0.468586,-0.189226,0.450216,0.468580,-0.189219,0.450216,0.013418,-0.151241,-0.381187,-2.180060,-0.062843,2.038730,0.449952,0.035000,0.035000,0.00000933
120,4.000000,0.472856,-0.193047,0.450410,0.472849,-0.193041,0.450410,0.012481,-0.134214,-0.385449,-2.161977,-0.056346,2.036867,0.440910,0.035000,0.035000,0.00000905
121,4.033333,0.477209,-0.196631,0.450665,0.477202,-0.196625,0.450664,0.011570,-0.117211,-0.389273,-2.143616,-0.049645,2.034609,0.432330,0.035000,0.035000,0.00000896
122,4.066667,0.481639,-0.199973,0.450980,0.481632,-0.199968,0.450980,0.010677,-0.100262,-0.392662,-2.125003,-0.042782,2.031961,0.424237,0.035000,0.035000,0.00000881
123,4.100000,0.486141,-0.203068,0.451356,0.486133,-0.203063,0.451355,0.009797,-0.083400,-0.395620,-2.106168,-0.035802,2.028929,0.416652,0.035000,0.035000,0.00000975
124,4.133333,0.490709,-0.205913,0.451792,0.490701,-0.205908,0.451791,0.008930,-0.066647,-0.398158,-2.087130,-0.028746,2.025519,0.409592,0.035000,0.035000,0.00000948
125,4.166667,0.495338,-0.208505,0.452287,0.495330,-0.208500,0.452286,0.008076,-0.050032,-0.400284,-2.067917,-0.021655,2.021742,0.403078,0.035000,0.035000,0.00000943
126,4.200000,0.500022,-0.210840,0.452841,0.500014,-0.210835,0.452840,0.007240,-0.033580,-0.402010,-2.048554,-0.014567,2.017609,0.397126,0.035000,0.035000,0.00000924
127,4.233333,0.504755,-0.212914,0.453453,0.504747,-0.212911,0.453452,0.006429,-0.017312,-0.403350,-2.029066,-0.007518,2.013132,0.391749,0.035000,0.035000,0.00000914
128,4.266667,0.509532,-0.214727,0.454123,0.509523,-0.214724,0.454122,0.005651,-0.001251,-0.404320,-2.009475,-0.000543,2.008325,0.386960,0.035000,0.035000,0.00000907
129,4.300000,0.514346,-0.216275,0.454849,0.514338,-0.216272,0.454847,0.004917,0.014585,-0.404935,-1.989805,0.006328,2.003204,0.382766,0.035000,0.035000,0.00000897
130,4.333333,0.519192,-0.217556,0.455630,0.519183,-0.217554,0.455629,0.004239,0.030180,-0.405215,-1.970078,0.013069,1.997783,0.379174,0.035000,0.035000,0.00000896
131,4.366667,0.524063,-0.218570,0.456467,0.524055,-0.218568,0.456465,0.003630,0.045516,-0.405176,-1.950316,0.019655,1.992080,0.376189,0.035000,0.035000,0.00000896
132,4.400000,0.528954,-0.219314,0.457357,0.528946,-0.219313,0.457355,0.003104,0.060583,-0.404838,-1.930539,0.026066,1.986110,0.373810,0.035000,0.035000,0.00000878
133,4.433333,0.533859,-0.219788,0.458299,0.533851,-0.219787,0.458297,0.002676,0.075367,-0.404220,-1.910768,0.032283,1.979891,0.372036,0.035000,0.035000,0.00000870
134,4.466667,0.538771,-0.219992,0.459293,0.538763,-0.219991,0.459291,0.002359,0.089860,-0.403339,-1.891022,0.038293,1.973441,0.370864,0.035000,0.035000,0.00000885
135,4.500000,0.543685,-0.219924,0.460337,0.543677,-0.219924,0.460335,0.002169,0.104052,-0.402216,-1.871320,0.044083,1.966775,0.370288,0.035000,0.035000,0.00000887
136,4.533333,0.548594,-0.219585,0.461430,0.548586,-0.219586,0.461428,0.002118,0.117937,-0.400867,-1.851681,0.049644,1.959912,0.370300,0.035000,0.035000,0.00000884
137,4.566667,0.553493,-0.218976,0.462570,0.553484,-0.218977,0.462568,0.002220,0.131510,-0.399311,-1.832122,0.054971,1.952868,0.370891,0.035000,0.035000,0.00000896
138,4.600000,0.558375,-0.218097,0.463756,0.558366,-0.218098,0.463754,0.002488,0.144766,-0.397563,-1.812659,0.060058,1.945659,0.372050,0.035000,0.035000,0.00000908
139,4.633333,0.563235,-0.216949,0.464988,0.563226,-0.216951,0.464985,0.002933,0.157703,-0.395640,-1.793309,0.064903,1.938301,0.373765,0.035000,0.035000,0.00000910
140,4.666667,0.568065,-0.215534,0.466262,0.568057,-0.215537,0.466260,0.003566,0.170318,-0.393556,-1.774088,0.069506,1.930811,0.376023,0.035000,0.035000,0.00000906
141,4.700000,0.572862,-0.213854,0.467578,0.572853,-0.213857,0.467575,0.004396,0.182610,-0.391326,-1.755010,0.073866,1.923202,0.378808,0.035000,0.035000,0.00000922
142,4.733333,0.577617,-0.211910,0.468933,0.577609,-0.211913,0.468931,0.005433,0.194580,-0.388963,-1.736089,0.077987,1.915490,0.382108,0.035000,0.035000,0.00000938
143,4.766667,0.582327,-0.209705,0.470327,0.582318,-0.209709,0.470325,0.006683,0.206226,-0.386479,-1.717339,0.081871,1.907689,0.385906,0.035000,0.035000,0.00000959
144,4.800000,0.586984,-0.207241,0.471758,0.586976,-0.207246,0.471756,0.008154,0.217549,-0.383885,-1.698774,0.085523,1.899812,0.390186,0.035000,0.035000,0.00000960
145,4.833333,0.591583,-0.204522,0.473223,0.591575,-0.204527,0.473221,0.009852,0.228552,-0.381192,-1.680406,0.088946,1.891873,0.394933,0.035000,0.035000,0.00000990
146,4.866667,0.596119,-0.201552,0.474722,0.596112,-0.201557,0.474719,0.011780,0.239238,-0.378409,-1.662243,0.092147,1.883883,0.400131,0.035000,0.035000,0.00000910
