task,epoch,mean_train_loss,val_loss,last_global_step
place_burger_fries,115,0.01833313,0.02062913,11714
place_burger_fries,116,0.01773398,0.02486241,11815
place_burger_fries,117,0.01555477,0.01597453,11916
place_burger_fries,118,0.01723350,0.02058743,12017
place_burger_fries,119,0.01861085,0.01443072,12118
place_burger_fries,120,0.01579401,0.02161030,12219
place_burger_fries,121,0.01559522,0.01536007,12320
place_burger_fries,122,0.01553152,0.01635862,12421
place_burger_fries,123,0.01557442,0.01728445,12522
place_burger_fries,124,0.01700017,0.01815725,12623
place_burger_fries,125,0.01626128,0.01080083,12724
place_burger_fries,126,0.01598210,0.01613852,12825
place_burger_fries,127,0.01711510,0.01398242,12926
place_burger_fries,128,0.01660718,0.02098016,13027
place_burger_fries,129,0.01522274,0.01356295,13128
place_burger_fries,130,0.01598829,0.00967909,13229
place_burger_fries,131,0.01502292,0.01277768,13330
place_burger_fries,132,0.01496395,0.01863479,13431
place_burger_fries,133,0.01450475,0.01275500,13532
place_burger_fries,134,0.01589546,0.01718504,13633
place_burger_fries,135,0.01447977,0.01691919,13734
place_burger_fries,136,0.01532848,0.01301015,13835
place_burger_fries,137,0.01579452,0.01779329,13936
place_burger_fries,138,0.01589543,0.01407151,14037
place_burger_fries,139,0.01515903,0.01721467,14138
place_burger_fries,140,0.01399073,0.01620499,14239
place_burger_fries,141,0.01324192,0.01264122,14340
place_burger_fries,142,0.01450499,0.01794058,14441
place_burger_fries,143,0.01618343,0.01400750,14542
place_burger_fries,144,0.01499414,0.01665559,14643
place_burger_fries,145,0.01342194,0.01273797,14744
place_burger_fries,146,0.01511285,0.01720924,14845
place_burger_fries,147,0.01431749,0.01272139,14946
place_burger_fries,148,0.01294011,0.01200070,15047
place_burger_fries,149,0.01260220,0.01666271,15148
place_burger_fries,150,0.01348173,0.01490947,15249
place_burger_fries,151,0.01439823,0.01337426,15350
place_burger_fries,152,0.01445740,0.01065382,15451
place_burger_fries,153,0.01489766,0.00965061,15552
place_burger_fries,154,0.01178435,0.01129278,15653
place_burger_fries,155,0.01282869,0.01259669,15754
place_burger_fries,156,0.01181640,0.01400099,15855
place_burger_fries,157,0.01395598,0.01406254,15956
place_burger_fries,158,0.01352260,0.01640439,16057
place_burger_fries,159,0.01310954,0.01225314,16158
place_burger_fries,160,0.01456836,0.01804269,16259
place_burger_fries,161,0.01296938,0.00933376,16360
place_burger_fries,162,0.01276314,0.01100204,16461
place_burger_fries,163,0.01170437,0.00931541,16562
place_burger_fries,164,0.01293743,0.01154630,16663
place_burger_fries,165,0.01471205,0.01166514,16764
place_burger_fries,166,0.01319876,0.01148494,16865
place_burger_fries,167,0.01253105,0.01507247,16966
place_burger_fries,168,0.01342417,0.01076996,17067
place_burger_fries,169,0.01370646,0.01378797,17168
place_burger_fries,170,0.01283200,0.01177253,17269
